,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
0,KLCC,1250000.0,2+1,3.0,2.0,Serviced Residence,1335.0,Fully Furnished,Built-up
2,Dutamas,1030000.0,3,4.0,2.0,Condominium (Corner),1875.0,Partly Furnished,Built-up
4,Bukit Jalil,900000.0,4+1,3.0,2.0,Condominium (Corner),1513.0,Partly Furnished,Built-up
5,Taman Tun Dr Ismail,5350000.0,4+2,5.0,4.0,Bungalow,7200.0,Partly Furnished,Land area
7,Taman Tun Dr Ismail,2600000.0,5,4.0,4.0,Semi-detached House,3600.0,Partly Furnished,Land area
9,Sri Petaling,385000.0,3,2.0,1.0,Apartment (Intermediate),904.0,Partly Furnished,Built-up
13,Taman Tun Dr Ismail,4580000.0,6+1,5.0,5.0,Bungalow (Intermediate),6000.0,Partly Furnished,Land area
16,Bukit Tunku (Kenny Hills),9000000.0,6+1,7.0,4.0,Bungalow (Corner),8500.0,Partly Furnished,Land area
18,Mont Kiara,1780000.0,4+1,4.0,2.0,Condominium (Corner),1830.0,Partly Furnished,Built-up
19,Mont Kiara,3450000.0,4+1,6.0,3.0,Condominium (Corner),3720.0,Fully Furnished,Built-up
20,Desa ParkCity,1500000.0,3+2,4.0,2.0,Condominium (Corner),1798.0,Partly Furnished,Built-up
21,Damansara Heights,1550000.0,1,1.0,1.0,Serviced Residence (Intermediate),904.0,Fully Furnished,Built-up
22,Mont Kiara,1500000.0,3+1,4.0,3.0,Condominium,2163.0,Fully Furnished,Built-up
24,Bangsar South,490000.0,1,1.0,1.0,Serviced Residence,520.0,Fully Furnished,Built-up
26,Bukit Jalil,610000.0,3+1,2.0,2.0,Condominium (Intermediate),1236.0,Partly Furnished,Built-up
28,Dutamas,1035880.0,3+1,4.0,1.0,Condominium (EndLot),1876.0,Partly Furnished,Built-up
31,Ampang Hilir,3300000.0,4+1,4.0,4.0,Condominium,3536.0,Unfurnished,Built-up
33,Ampang Hilir,460000.0,1,1.0,1.0,Serviced Residence,613.0,Fully Furnished,Built-up
35,KLCC,2400000.0,2,2.0,1.0,Serviced Residence,1006.0,Fully Furnished,Built-up
39,Jalan Klang Lama (Old Klang Road),1438000.0,3+2,4.0,3.0,Condominium (Corner),2378.0,Partly Furnished,Built-up
40,Mont Kiara,1720000.0,3+2,6.0,3.0,Condominium (Corner),2020.0,Partly Furnished,Built-up
42,KLCC,4280000.0,3+1,4.0,2.0,Serviced Residence (Corner),2195.0,Fully Furnished,Built-up
43,KLCC,2300000.0,1,2.0,1.0,Serviced Residence,1023.0,Partly Furnished,Built-up
44,Damansara Heights,4200000.0,6,5.0,5.0,Bungalow,5274.0,Partly Furnished,Land area
46,KLCC,2700000.0,3+1,4.0,3.0,Serviced Residence (Corner),3095.0,Fully Furnished,Built-up
47,Mont Kiara,1080000.0,2,2.0,1.0,Serviced Residence,896.0,Fully Furnished,Built-up
48,Mont Kiara,1150000.0,3,2.0,2.0,Condominium (Corner),1200.0,Partly Furnished,Built-up
49,Bukit Jalil,1070000.0,4+1,4.0,4.0,Condominium (EndLot),1772.0,Partly Furnished,Built-up
50,Bukit Jalil,930000.0,4,3.0,2.0,Condominium (EndLot),1513.0,Partly Furnished,Built-up
52,Bangsar South,780000.0,2,2.0,1.0,Serviced Residence (Corner),880.0,Partly Furnished,Built-up
53,KLCC,4098000.0,3+1,3.0,2.0,Serviced Residence (Intermediate),2066.0,Partly Furnished,Built-up
55,KL City,1800000.0,2,2.0,1.0,Serviced Residence (Duplex),1244.0,Fully Furnished,Built-up
57,Mont Kiara,2300000.0,4+1,5.0,2.0,Condominium (Corner),2702.0,Partly Furnished,Built-up
59,KLCC,4000000.0,3+1,3.0,2.0,Condominium (Intermediate),2250.0,Fully Furnished,Built-up
60,Ampang Hilir,4800000.0,5,6.0,3.0,Condominium,4300.0,Partly Furnished,Built-up
61,Ampang Hilir,3780000.0,4+1,5.0,4.0,Condominium (Corner),3628.0,Partly Furnished,Built-up
63,Bangsar South,850000.0,2+1,2.0,1.0,Serviced Residence,1050.0,Fully Furnished,Built-up
65,KLCC,1698800.0,2,2.0,1.0,Serviced Residence (Intermediate),1227.0,Fully Furnished,Built-up
66,Sungai Besi,999000.0,4+1,4.0,2.0,3-sty Terrace/Link House (Intermediate),2512.0,Partly Furnished,Built-up
67,KL Sentral,3500000.0,1,1.0,1.0,Serviced Residence,1648.0,Partly Furnished,Built-up
68,KLCC,1500000.0,2,2.0,1.0,Serviced Residence (Corner),1022.0,Fully Furnished,Built-up
69,KLCC,2300000.0,1,2.0,1.0,Serviced Residence (Intermediate),1023.0,Partly Furnished,Built-up
70,Mont Kiara,1830000.0,3+1,4.0,2.0,Condominium (Corner),1830.0,Partly Furnished,Built-up
72,Setapak,580000.0,4+1,2.0,2.0,Condominium (Corner),1550.0,Partly Furnished,Built-up
74,Mont Kiara,2180000.0,4+1,4.0,3.0,Condominium (Corner),3000.0,Partly Furnished,Built-up
76,KLCC,2030000.0,3+1,5.0,2.0,Condominium,2356.0,Fully Furnished,Built-up
77,Mont Kiara,3450000.0,4+1,6.0,3.0,Condominium,3720.0,Fully Furnished,Built-up
79,City Centre,4080000.0,4+1,5.0,2.0,Condominium (Corner),3713.0,Partly Furnished,Built-up
80,Taman Tun Dr Ismail,2880000.0,4+1,3.0,4.0,2-sty Terrace/Link House (Corner),4244.0,Partly Furnished,Land area
81,KLCC,1799000.0,1,1.0,1.0,Serviced Residence,720.0,Fully Furnished,Built-up
83,KLCC,1820000.0,2+1,2.0,2.0,Condominium (Corner),1159.0,Fully Furnished,Built-up
84,KLCC,1000000.0,3+1,3.0,2.0,Serviced Residence (Corner),1313.0,Partly Furnished,Built-up
85,KLCC,1650000.0,3+1,5.0,2.0,Condominium (Corner),1905.0,Fully Furnished,Built-up
87,KLCC,2300000.0,1,1.0,2.0,Serviced Residence,1023.0,Partly Furnished,Built-up
88,Mont Kiara,2400000.0,4+1,5.0,3.0,Condominium,2702.0,Partly Furnished,Land area
89,KLCC,2055000.0,1+1,1.0,1.0,Serviced Residence (Intermediate),797.0,Partly Furnished,Built-up
90,KLCC,1714000.0,1,1.0,1.0,Serviced Residence (Intermediate),700.0,Partly Furnished,Built-up
